,document_title,question_text,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,yes_no_answer
4157,['The Way of the World'],['summary of the drama the way of the world'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4158,['Lego DC Comics Super Heroes: The Flash'],['lego dc comics super heroes the flash age rating'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4159,['Andrew Harrison (basketball)'],['who were the twins that played for kentucky'],<P> Andrew Michael Harrison,", Aaron Harrison",<P> Andrew Michael Harrison,", Aaron Harrison",<P> Andrew Michael Harrison,", Aaron Harrison",<P> Andrew Michael Harrison,", Aaron Harrison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4160,"['Theme from New York, New York']",['when did frank sinatra first sing new york new york'],( 1980,In 1979,<Td> 1979,In 1979,In 1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4161,['4Matic'],['is 4matic the same as 4 wheel drive'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NO YES YES
4162,['Sister Wives'],['who is the first wife on sister wives'],wife Meri,wife Meri,wife Meri,wife Meri,wife Meri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4163,['Under Pressure'],['play under pressure by queen and david bowie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4164,['Benue State'],['list of local government area in benue state'],<Td> Ado,<Td> Agatu,<Td> Apa,<Td> Buruku,<Td> Gboko,<Td> Guma,<Td> Gwer East,<Td> Gwer West,<Td> Katsina - Ala,<Td> Konshisha,<Td> Kwande,<Td> Logo,<Td> Makurdi,<Td> Obi,<Td> Ogbadibo,<Td> Ohimini,<Td> Oju,<Td> Okpokwu,<Td> Otukpo,<Td> Tarka,<Td> Ukum,<Td> Ushongo,<Td> Vandeikya,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4165,['Russian culture'],['much of the character of russian tsarist rule comes from'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4166,['Chinese Buddhism'],['an influential religion to enter china along the silk route during the han dynasty was'],that Buddhism,teach Buddhism,of Buddhism,that Buddhism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4167,['One of These Nights (song)'],['who sang the song one of these nights'],the American rock band Eagles,band Eagles,band Eagles,by the American rock band Eagles,band Eagles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4168,['Dancing with the Stars (U.S. season 16)'],['who won season 16 on dancing with the stars'],<Td> Kellie Pickler,<Td> Derek Hough,<Td> Kellie Pickler,<Td> Derek Hough,<Td> Kellie Pickler,<Td> Derek Hough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4169,['Hail Mary pass'],['where did the term hail mary in football come from'],"after a December 28 , 1975 NFL playoff game between the Dallas Cowboys and the Minnesota Vikings , when Cowboys quarterback Roger Staubach ( a Roman Catholic and fan of The Godfather Part II ( 1974 ) , whose character Fredo had popularized the phrase ) said about his game - winning touchdown pass to wide receiver Drew Pearson , `` I closed my eyes and said a Hail Mary . ''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4170,['Hershey–Chase experiment'],['what was the key factor that allowed hershey and chase'],. The results of the Avery -- MacLeod -- McCarty experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4171,['United States customary units'],['what kind of metric system does the us use'],. The International System of Units ( SI ),<P> United States customary units,. The International System of Units ( SI ),", international units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4172,['Education in South Korea'],['what time do korean students go to school'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4173,['Death of Caroline Byrne'],['the killing of caroline byrne a journey to justice'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4174,['Monarch High School (Florida)'],['how many students does monarch high school have'],"<Td> 2,406 ( 2014 - 15 )","<Td> 2,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4175,['European–African–Middle Eastern Campaign Medal'],['european african middle eastern campaign medal with 3 stars'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4176,['Your Love (The Outfield song)'],['who sings i just want to use your love tonight'],by the English rock band the Outfield,the English rock band the Outfield,the English rock band the Outfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4177,['Viral video'],['how many views does it take to go viral on facebook'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4178,"[""It's a Long Way to the Top (If You Wanna Rock 'n' Roll)""]","[""acdc it's a long way to the top if you want to rock and roll""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4179,['My Name Is Earl (season 4)'],['how many episodes in my name is earl season 4'],<Td> 27,<Td> 27,<Td> 27,<Td> 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4180,['Calendar year'],['how many weeks are in the first quarter of 2018'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4181,['We Shall Overcome: The Seeger Sessions'],['bruce springsteen we shall overcome the seeger sessions songs'],<Td> `` Old Dan Tucker '',<Td> `` Jesse James '',<Td> `` Mrs. McGrath '',<Td> `` O Mary Do n't You Weep '',`` John Henry '' </Td> <Td> </Td> <Td> 5,<Td> `` Erie Canal '',<Td> `` Jacob 's Ladder '',<Td> `` My Oklahoma Home '',<Td> `` Eyes on the Prize '',<Td> `` Shenandoah '',<Td> `` Pay Me My Money Down '',<Td> `` We Shall Overcome '',<Td> `` Froggie Went A-Courtin ' '',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4182,['South Park: The Fractured but Whole'],['south park fractured but whole number of days'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4183,['La Futura'],['zz top i gotsta get paid video credits'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4184,"[""Demetrius (A Midsummer Night's Dream)""]",['who does demetrius love in a midsummer night dream'],with Helena,with Helena,", Hermia",with Helena,with Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4185,['Awesome God'],['who sang our god is an awesome god'],by Rich Mullins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4186,['Pygostyle'],['where does the term parsons nose come from'],"comes from the notion that an English parson may ' have his nose up in the air ' , upturned like the chicken 's rear end",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4187,['Where the Heart Is (2000 film)'],"[""forney's sister in where the heart is""]",( Margaret Hoard,sister Mary Elizabeth,sister Mary Elizabeth ( Margaret Hoard ),sister Mary Elizabeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4188,['Right to education'],['education is a right which must be protected'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4189,['The Darling Buds of May (TV series)'],['who played the twins in darling buds of may'],<Li> Christina Giles,<Li> Katherine Giles,<Li> Christina Giles,<Li> Katherine Giles,<Li> Christina Giles,<Li> Katherine Giles,"<Li> Christina Giles , as Petunia Larkin , twin sister to Zinnia ( 18 episodes )","<Li> Katherine Giles , as Zinnia Larkin , twin sister to Petunia ( 18 episodes )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4190,['Cortisol'],['where does cortisol come from in the body'],by the zona fasciculata of the adrenal cortex within the adrenal gland,the zona fasciculata of the adrenal cortex within the adrenal gland,by the zona fasciculata of the adrenal cortex within the adrenal gland,by the zona fasciculata of the adrenal cortex within the adrenal gland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4191,['Where Am I Going?'],['where am i and where am i going'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4192,['Marvel vs. Capcom'],['when did the first marvel vs capcom come out'],in 1996,game in 1996,<Td> 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4193,['History of Texas'],['complete the timeline of significant events in the history of political parties in texas'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4194,['Bill of rights'],['in 1973 the first patient bill of rights was established'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4195,['Flag of Vietnam'],['what flag is red and has a gold star'],<P> The flag of Vietnam,The flag of Vietnam,<P> The flag of Vietnam,The flag of Vietnam,of Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4196,['Poverty'],['who are the poor and what are their economic characteristics'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4197,['Metanoia (theology)'],['what is the meaning of the greek word metanoia'],`` a transformative change of heart ; especially : a spiritual conversion,as `` a transformative change of heart ; especially : a spiritual conversion . '',`` a transformative change of heart ; especially : a spiritual conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4198,['Cremaster muscle'],['when it is cold the cremaster muscle relaxes and the testicles are lowered away from the body'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4199,['Himachal Pradesh'],['why do you think the state of himachal pradesh has been given the name himachal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4200,['Philippine presidential line of succession'],['who will be the next in line if vice mayor dies'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4201,"[""Terry's Chocolate Orange""]","[""how many pieces in a terry's chocolate orange""]",into 20,into 20,into 20,of six,into 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4202,['Human skeleton'],['what are the functions of the human skeleton'],; support,", movement",", protection",", production of blood cells",", storage of minerals",and endocrine regulation,; support,", movement",", protection",", production of blood cells",", storage of minerals",and endocrine regulation,; support,", movement",", protection",", production of blood cells",", storage of minerals",and endocrine regulation,; support,", movement",", protection",", production of blood cells",", storage of minerals",and endocrine regulation,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4203,['History of media studies'],['when did the study of media effects begin'],in 1919,in 1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4204,"[""I Won't Back Down""]","[""tom petty i won't back down official video""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4205,['Ready Player One'],['what is the oasis in ready player one'],", a virtual reality simulator accessible by players using visors and haptic technology such as gloves",", a virtual reality simulator accessible by players using visors and haptic technology such as gloves",", a virtual reality simulator",", a virtual reality simulator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4206,['Steptoe and Son'],['what was the name of the horse in steptoe and son'],", Hercules",", Hercules",", Hercules",", Hercules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4207,['Golden State Warriors'],['when did the golden state warriors win the finals'],in 1947,", 1956",", 1975",", 2015",and 2017,in 1947,", 1956",", 1975",", 2015",and 2017,( 1947,", 1956",", 1975",", 2015",", 2017",in 1947,", 1956",", 1975",", 2015",and 2017,in 1947,", 1956",", 1975",", 2015",and 2017,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4208,['List of One Piece episodes (seasons 15–current)'],['when is new one piece episodes coming out'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4209,['List of Olympic medalists in figure skating'],['who won the gold medal in the figure skating'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4210,['List of accolades received by The Wolf of Wall Street (2013 film)'],['who won the oscar over wolf of wall street'],! Martin Scorsese,! Leonardo DiCaprio,! Jonah Hill,! Terence Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4211,['Call of Duty: Strike Team'],['call of duty strike team offline or online'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4212,['List of presidents of the United States by age'],['who was the youngest president to be elected'],was Theodore Roosevelt,was Theodore Roosevelt,was John F. Kennedy,was John F. Kennedy,was John F. Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4213,['Tomb of the Unknown Soldier (Arlington)'],['who is buried in the tomb of the unknown soldiers'],to U.S. service members who have died without their remains being identified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4214,['Glycosidic bond'],['what is the difference between alpha and beta glycosidic linkages'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4215,['National Film Award for Best Actor'],['which indian actor has won most national awards'],", Amitabh Bachchan",", Amitabh Bachchan",", Amitabh Bachchan",", Amitabh Bachchan",", Amitabh Bachchan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4216,['The Young and the Restless'],['when was the young and the restless first aired'],"on March 26 , 1973","on March 26 , 1973","on March 26 , 1973","<Td> March 26 , 1973","on March 26 , 1973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4217,['Lionel Messi'],['when did lionel messi play his first game for barcelona'],February 2001,February 2002,<Th> 2001,in October 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4218,"['Gulf Breeze, Florida']",['where is gulf breeze fl on the map'],at 30 ° 21 ′ 36 '' N 87 ° 10 ′ 41 '' W ﻿ / ﻿ 30.36000 ° N 87.17806 ° W,"city on the Fairpoint Peninsula in Santa Rosa County , Florida , United States and is a suburb of Pensacola which lies to the north , across Pensacola Bay","at 30 ° 21 ′ 36 '' N 87 ° 10 ′ 41 '' W ﻿ / ﻿ 30.36000 ° N 87.17806 ° W ﻿ / 30.36000 ; - 87.17806 ( 30.359933 , - 87.178190 )","city on the Fairpoint Peninsula in Santa Rosa County , Florida ,","is a suburb of Pensacola which lies to the north , across Pensacola Bay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4219,['Chair of the Federal Reserve'],['what does the chair of the federal reserve do'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4220,"['List of Ed, Edd n Eddy characters']",['the boards name on ed edd and eddy'],if Plank,if Plank,if Plank,if Plank,if Plank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4221,['List of insurance companies in India'],['total no. of general insurance companies in india'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4222,['Information system'],['what are the types of information system application'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4223,['List of national anthem performers at the Super Bowl'],['who sang national anthem at the super bowl'],<Td> Pink,<Td> Pink,<Td> Pink,<Td> Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4224,['Hysteresis'],['the area enclosed by hysteresis loop is a measure of'],low energy loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4225,['United States Secretary of State'],['what is the salary of us secretary of state'],"currently $205,700","<Td> $205,700","<Td> $205,700 annually","currently $205,700","<Td> $205,700 annually",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4226,"[""Forbes' list of the most valuable football clubs""]",['most fan following football club in the world'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4227,['Patient Self-Determination Act'],['the patient self-determination act (psda) mandates that'],"legislation required many hospitals , nursing homes , home health agencies , hospice providers , health maintenance organizations ( HMOs ) , and other health care institutions to provide information about advance health care directives to adult patients upon their admission to the healthcare facility","legislation required many hospitals , nursing homes , home health agencies , hospice providers , health maintenance organizations ( HMOs ) , and other health care institutions to provide information about advance health care directives to adult patients upon their admission to the healthcare facility","required many hospitals , nursing homes , home health agencies , hospice providers , health maintenance organizations ( HMOs ) , and other health care institutions to provide information about advance health care directives to adult patients upon their admission to the healthcare facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4228,"[""Who's Gonna Fill Their Shoes""]","[""george jones who's gonna fill their shoes meaning""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4229,['Constitution of India'],['constitution of india published by government of india'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4230,"['Virginia Beach, Virginia']",['where is virginia beach located on a map'],located on the southeastern coast of the Commonwealth of Virginia in the United States,located on the southeastern coast of the Commonwealth of Virginia in the United States,Located on the Atlantic Ocean at the mouth of the Chesapeake Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4231,['Game of Thrones (season 7)'],['how many episodes in game if thrones season 7'],only seven,only seven,<Td> 7,only seven,<Td> 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4232,['List of Academy Award-winning families'],['who are the only 2 families that have had 3 generations of oscar winners'],<P> The Hustons,are the Coppolas,The Hustons,the Coppolas,the Farrow / Previn / Allens,<P> The Hustons,are the Coppolas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4233,['Head to Toe'],['think i love you from head to toe'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4234,['Great Wall of China'],['were the first stages of the great wall of china built as early as the 5th century bc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO YES NO NO YES
4235,['Chemical equilibrium'],['when is equilibrium reached in a chemical reaction'],results when the forward reaction proceeds at the same rate as the reverse reaction,"state in which both reactants and products are present in concentrations which have no further tendency to change with time , so that there is no observable change in the properties of the system",results when the forward reaction proceeds at the same rate as the reverse reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4236,"[""I'm Like a Bird""]","[""when did i'm like a bird come out""]","<Td> October 24 , 2000","<Td> October 24 , 2000","<Td> October 24 , 2000","<Td> October 24 , 2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4237,['Spanish conquest of the Aztec Empire'],['who was the aztec ruler when the spanish arrived'],Emperor Moctezuma II,Emperor Moctezuma II,Emperor Moctezuma II,the emperor Cuauhtemoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4238,['Pat Walshe'],['who plays nikko in the wizard of oz'],<P> Patrick Walshe,<P> Patrick Walshe,<P> Patrick Walshe,<P> Patrick Walshe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4239,['Lost & Found Music Studios'],['will there be a third season of lost and found music studios'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4240,['United States territorial acquisitions'],['what happened in the philippines after the united states annexed it as a territory'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4241,['Always on Time'],['always there when i call always on time'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4242,['We Real Cool'],['the pool players seven at the golden shovel meaning'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4243,['United States Attorney General'],['what is the role of the us attorney general'],"is the head of the United States Department of Justice per 28 U.S.C. § 503 , concerned with all legal affairs , and is the chief lawyer of the United States government","`` to prosecute and conduct all suits in the Supreme Court in which the United States shall be concerned , and to give his or her advice and opinion upon questions of law when required by the President of the United States , or when requested by the heads of any of the departments","is the head of the United States Department of Justice per 28 U.S.C. § 503 , concerned with all legal affairs , and is the chief lawyer of the United States government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4244,['List of locations in Pirates of the Caribbean'],['where was the pirates of the caribbean filmed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4245,['Washington Union Station'],['where is union station in washington dc located'],<Td> 50 Massachusetts Avenue NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4246,['Methodism'],['where did the methodist church get its name'],students because of the way they used `` rule '' and `` method '' to go about their religious affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4247,['Mission Nuestra Señora de la Soledad'],['who founded mission nuestra senora de la soledad'],by the Franciscan order,by the Franciscan order,by the Franciscan order,by Fermín Francisco de Lasuén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4248,['Now You See Me (film)'],['characters in the movie now you see me'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4249,['Punch Brothers'],['where did the punch brothers get their name'],comes from the critical line of an earworm jingle that is the centerpiece of Mark Twain 's short story `` A Literary Nightmare '',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4250,['2016 Los Angeles Rams season'],['who do the los angeles rams play sunday'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4251,['Shades of blue'],['what does the color federal blue look like'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4252,['Neisseria gonorrhoeae'],['give two reasons neisseria gonorrhoeae is able to re-infect individuals after treatment'],", infected persons do not develop immunity to future infections",to N. gonorrhoeae 's ability to evade the immune system by varying its surface proteins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4253,['Admiral of the fleet of the Soviet Union'],['admiral of the fleet of the soviet union'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4254,"[""I Can't Go for That (No Can Do)""]","[""i can't go for that lyrics meaning""]","really about not being pushed around by big labels , managers , and agents and being told what to do , and being true to yourself creatively",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4255,['Harry Potter (film series)'],['what harry potter movie came out in 2008'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4256,['Pour point'],['the lowest temperature at which a lubricant will flow is called the'],The pour point,The pour point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4257,['List of military leaders in the American Revolutionary War'],['who were the leaders in the american revolution'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4258,['United States Foreign Intelligence Surveillance Court'],['who are the judges on the fisa court'],Dennis Dennis Saylor,Thomas Thomas Russell,Michael Michael Mosman,Robert Robert Kugler,James James Jones,Claire Claire Eagan,Raymond Raymond Dearie,Anne Anne Conway,Rudolph Rudolph Contreras,Jeb Jeb Boasberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4259,['History of the Philippines (1965–86)'],['when did martial law in the philippines end'],-- 81,January 1981,January 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
